dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,34.938,0.0
bf16,bf16,1,4096,27.364,0.002
bf16,bf16,1,8192,27.217,0.005
bf16,bf16,1,16384,36.548,0.007
bf16,bf16,1,32768,57.691,0.009
bf16,bf16,1,65536,100.101,0.011
bf16,bf16,1,131072,184.663,0.012
bf16,bf16,16,1024,36.086,0.008
bf16,bf16,16,4096,99.783,0.011
bf16,bf16,16,8192,183.195,0.012
bf16,bf16,16,16384,349.466,0.012
bf16,bf16,16,32768,679.708,0.013
bf16,bf16,16,65536,1347.629,0.013
bf16,bf16,16,131072,2667.528,0.013
bf16,bf16,32,1024,53.5,0.01
bf16,bf16,32,4096,178.733,0.012
bf16,bf16,32,8192,345.743,0.013
bf16,bf16,32,16384,675.618,0.013
bf16,bf16,32,32768,1339.405,0.013
bf16,bf16,32,65536,2679.39,0.013
bf16,bf16,32,131072,5355.239,0.013
bf16,bf16,64,1024,100.247,0.011
bf16,bf16,64,4096,351.627,0.012
bf16,bf16,64,8192,698.033,0.012
bf16,bf16,64,16384,1372.566,0.013
bf16,bf16,64,32768,2723.521,0.013
bf16,bf16,64,65536,5425.788,0.013
bf16,bf16,64,131072,10894.779,0.013
bf16,bf16,128,1024,187.612,0.012
bf16,bf16,128,4096,689.665,0.013
bf16,bf16,128,8192,1363.603,0.013
bf16,bf16,128,16384,2726.495,0.013
bf16,bf16,128,32768,5425.588,0.013
bf16,bf16,128,65536,10861.268,0.013
bf16,bf16,256,1024,360.852,0.012
bf16,bf16,256,4096,1377.637,0.013
bf16,bf16,256,8192,2745.944,0.013
bf16,bf16,256,16384,5425.339,0.013
bf16,bf16,512,1024,707.868,0.012
bf16,bf16,512,4096,2738.839,0.013
bf16,bf16,512,8192,5439.426,0.013
