dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,241.419,0.0
bf16,bf16,1,4096,25.68,0.003
bf16,bf16,1,8192,44.34,0.003
bf16,bf16,1,16384,27.225,0.01
bf16,bf16,1,32768,44.843,0.012
bf16,bf16,1,65536,45.197,0.024
bf16,bf16,1,131072,62.919,0.035
bf16,bf16,16,1024,32.605,0.008
bf16,bf16,16,4096,45.208,0.024
bf16,bf16,16,8192,59.25,0.037
bf16,bf16,16,16384,101.238,0.043
bf16,bf16,16,32768,185.642,0.047
bf16,bf16,16,65536,352.786,0.049
bf16,bf16,16,131072,688.533,0.05
bf16,bf16,32,1024,32.245,0.017
bf16,bf16,32,4096,59.952,0.036
bf16,bf16,32,8192,101.505,0.043
bf16,bf16,32,16384,186.203,0.047
bf16,bf16,32,32768,359.665,0.048
bf16,bf16,32,65536,694.557,0.05
bf16,bf16,32,131072,1353.919,0.051
bf16,bf16,64,1024,40.521,0.027
bf16,bf16,64,4096,104.23,0.042
bf16,bf16,64,8192,188.16,0.046
bf16,bf16,64,16384,354.626,0.049
bf16,bf16,64,32768,688.85,0.05
bf16,bf16,64,65536,1360.102,0.051
bf16,bf16,64,131072,2699.389,0.051
bf16,bf16,128,1024,54.741,0.04
bf16,bf16,128,4096,181.413,0.048
bf16,bf16,128,8192,349.056,0.05
bf16,bf16,128,16384,688.645,0.05
bf16,bf16,128,32768,1354.289,0.051
bf16,bf16,128,65536,2690.841,0.052
bf16,bf16,256,1024,101.969,0.043
bf16,bf16,256,4096,354.19,0.049
bf16,bf16,256,8192,689.982,0.05
bf16,bf16,256,16384,1365.712,0.051
bf16,bf16,512,1024,191.25,0.045
bf16,bf16,512,4096,692.692,0.05
bf16,bf16,512,8192,1373.149,0.051
