dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,28.451,0.005
bf16,bf16,1,4096,26.111,0.021
bf16,bf16,1,8192,30.821,0.035
bf16,bf16,1,16384,26.292,0.083
bf16,bf16,1,32768,29.76,0.146
bf16,bf16,1,65536,47.126,0.184
bf16,bf16,1,131072,71.32,0.244
bf16,bf16,16,1024,34.394,0.063
bf16,bf16,16,4096,52.309,0.166
bf16,bf16,16,8192,77.084,0.225
bf16,bf16,16,16384,126.643,0.274
bf16,bf16,16,32768,226.111,0.307
bf16,bf16,16,65536,426.948,0.325
bf16,bf16,16,131072,822.967,0.338
bf16,bf16,32,1024,48.056,0.09
bf16,bf16,32,4096,87.235,0.199
bf16,bf16,32,8192,136.693,0.254
bf16,bf16,32,16384,235.24,0.295
bf16,bf16,32,32768,428.516,0.324
bf16,bf16,32,65536,821.23,0.338
bf16,bf16,32,131072,1622.304,0.343
bf16,bf16,64,1024,85.309,0.102
bf16,bf16,64,4096,160.122,0.217
bf16,bf16,64,8192,259.186,0.268
bf16,bf16,64,16384,458.206,0.303
bf16,bf16,64,32768,856.596,0.324
bf16,bf16,64,65536,1650.114,0.337
bf16,bf16,64,131072,3529.319,0.315
bf16,bf16,128,1024,70.61,0.246
bf16,bf16,128,4096,235.232,0.295
bf16,bf16,128,8192,424.604,0.327
bf16,bf16,128,16384,800.507,0.347
bf16,bf16,128,32768,1586.318,0.35
bf16,bf16,128,65536,3547.879,0.313
bf16,bf16,256,1024,132.77,0.262
bf16,bf16,256,4096,447.781,0.31
bf16,bf16,256,8192,838.984,0.331
bf16,bf16,256,16384,1617.247,0.344
bf16,bf16,512,1024,256.088,0.271
bf16,bf16,512,4096,869.393,0.32
bf16,bf16,512,8192,1636.216,0.34
