dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,29.314,0.001
bf16,bf16,1,4096,26.729,0.003
bf16,bf16,1,8192,27.361,0.005
bf16,bf16,1,16384,27.129,0.01
bf16,bf16,1,32768,37.593,0.014
bf16,bf16,1,65536,59.121,0.018
bf16,bf16,1,131072,101.597,0.021
bf16,bf16,16,1024,33.391,0.008
bf16,bf16,16,4096,58.118,0.019
bf16,bf16,16,8192,99.757,0.022
bf16,bf16,16,16384,183.338,0.024
bf16,bf16,16,32768,350.012,0.025
bf16,bf16,16,65536,684.09,0.025
bf16,bf16,16,131072,1349.15,0.026
bf16,bf16,32,1024,38.419,0.014
bf16,bf16,32,4096,101.528,0.021
bf16,bf16,32,8192,184.374,0.024
bf16,bf16,32,16384,350.177,0.025
bf16,bf16,32,32768,685.523,0.025
bf16,bf16,32,65536,1348.446,0.026
bf16,bf16,32,131072,2722.604,0.026
bf16,bf16,64,1024,54.517,0.02
bf16,bf16,64,4096,179.945,0.024
bf16,bf16,64,8192,346.473,0.025
bf16,bf16,64,16384,679.461,0.026
bf16,bf16,64,32768,1363.906,0.025
bf16,bf16,64,65536,2700.293,0.026
bf16,bf16,64,131072,5384.251,0.026
bf16,bf16,128,1024,100.165,0.022
bf16,bf16,128,4096,352.183,0.025
bf16,bf16,128,8192,690.017,0.025
bf16,bf16,128,16384,1367.199,0.025
bf16,bf16,128,32768,2732.926,0.025
bf16,bf16,128,65536,5406.431,0.026
bf16,bf16,256,1024,190.77,0.023
bf16,bf16,256,4096,702.279,0.025
bf16,bf16,256,8192,1370.525,0.025
bf16,bf16,256,16384,2733.971,0.025
bf16,bf16,512,1024,365.231,0.024
bf16,bf16,512,4096,1377.066,0.025
bf16,bf16,512,8192,2731.891,0.025
