dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,36.054,0.001
bf16,bf16,1,4096,32.582,0.004
bf16,bf16,1,8192,34.624,0.008
bf16,bf16,1,16384,33.491,0.016
bf16,bf16,1,32768,34.888,0.031
bf16,bf16,1,65536,40.628,0.053
bf16,bf16,1,131072,64.331,0.068
bf16,bf16,16,1024,34.356,0.016
bf16,bf16,16,4096,46.114,0.047
bf16,bf16,16,8192,60.563,0.072
bf16,bf16,16,16384,103.936,0.084
bf16,bf16,16,32768,189.859,0.091
bf16,bf16,16,65536,358.22,0.097
bf16,bf16,16,131072,696.978,0.1
bf16,bf16,32,1024,28.366,0.038
bf16,bf16,32,4096,62.891,0.069
bf16,bf16,32,8192,105.2,0.083
bf16,bf16,32,16384,192.23,0.09
bf16,bf16,32,32768,364.961,0.095
bf16,bf16,32,65536,700.643,0.099
bf16,bf16,32,131072,1382.722,0.101
bf16,bf16,64,1024,46.854,0.046
bf16,bf16,64,4096,111.996,0.078
bf16,bf16,64,8192,198.562,0.087
bf16,bf16,64,16384,368.069,0.094
bf16,bf16,64,32768,709.512,0.098
bf16,bf16,64,65536,1383.386,0.1
bf16,bf16,64,131072,2744.478,0.101
bf16,bf16,128,1024,56.383,0.077
bf16,bf16,128,4096,186.575,0.093
bf16,bf16,128,8192,355.519,0.098
bf16,bf16,128,16384,697.177,0.1
bf16,bf16,128,32768,1377.644,0.101
bf16,bf16,128,65536,2738.508,0.101
bf16,bf16,256,1024,105.676,0.082
bf16,bf16,256,4096,361.784,0.096
bf16,bf16,256,8192,702.946,0.099
bf16,bf16,256,16384,1383.297,0.1
bf16,bf16,512,1024,198.985,0.087
bf16,bf16,512,4096,709.936,0.098
bf16,bf16,512,8192,1383.69,0.1
