dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,28.374,0.002
bf16,bf16,1,4096,26.375,0.01
bf16,bf16,1,8192,26.928,0.02
bf16,bf16,1,16384,26.187,0.041
bf16,bf16,1,32768,28.372,0.077
bf16,bf16,1,65536,44.028,0.099
bf16,bf16,1,131072,64.053,0.136
bf16,bf16,16,1024,33.12,0.033
bf16,bf16,16,4096,42.829,0.101
bf16,bf16,16,8192,63.993,0.136
bf16,bf16,16,16384,107.454,0.162
bf16,bf16,16,32768,194.159,0.179
bf16,bf16,16,65536,364.853,0.19
bf16,bf16,16,131072,700.173,0.198
bf16,bf16,32,1024,29.234,0.074
bf16,bf16,32,4096,69.553,0.125
bf16,bf16,32,8192,113.762,0.153
bf16,bf16,32,16384,196.723,0.177
bf16,bf16,32,32768,369.209,0.188
bf16,bf16,32,65536,706.591,0.197
bf16,bf16,32,131072,1388.035,0.2
bf16,bf16,64,1024,58.1,0.075
bf16,bf16,64,4096,123.338,0.141
bf16,bf16,64,8192,211.866,0.164
bf16,bf16,64,16384,380.103,0.183
bf16,bf16,64,32768,731.625,0.19
bf16,bf16,64,65536,1403.695,0.198
bf16,bf16,64,131072,2755.888,0.202
bf16,bf16,128,1024,57.556,0.151
bf16,bf16,128,4096,186.792,0.186
bf16,bf16,128,8192,354.876,0.196
bf16,bf16,128,16384,697.64,0.199
bf16,bf16,128,32768,1375.738,0.202
bf16,bf16,128,65536,2732.15,0.203
bf16,bf16,256,1024,108.209,0.161
bf16,bf16,256,4096,364.74,0.191
bf16,bf16,256,8192,705.848,0.197
bf16,bf16,256,16384,1382.88,0.201
bf16,bf16,512,1024,203.001,0.171
bf16,bf16,512,4096,716.466,0.194
bf16,bf16,512,8192,1403.813,0.198
