dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,34.75,0.0
bf16,bf16,1,4096,33.571,0.001
bf16,bf16,1,8192,34.168,0.002
bf16,bf16,1,16384,34.042,0.004
bf16,bf16,1,32768,27.491,0.01
bf16,bf16,1,65536,40.259,0.013
bf16,bf16,1,131072,60.987,0.018
bf16,bf16,16,1024,26.871,0.005
bf16,bf16,16,4096,37.451,0.014
bf16,bf16,16,8192,60.134,0.018
bf16,bf16,16,16384,103.517,0.021
bf16,bf16,16,32768,188.698,0.023
bf16,bf16,16,65536,350.247,0.025
bf16,bf16,16,131072,686.864,0.025
bf16,bf16,32,1024,26.421,0.01
bf16,bf16,32,4096,58.356,0.019
bf16,bf16,32,8192,101.017,0.021
bf16,bf16,32,16384,183.984,0.024
bf16,bf16,32,32768,352.747,0.025
bf16,bf16,32,65536,685.507,0.025
bf16,bf16,32,131072,1361.083,0.026
bf16,bf16,64,1024,37.971,0.014
bf16,bf16,64,4096,101.784,0.021
bf16,bf16,64,8192,186.29,0.023
bf16,bf16,64,16384,355.058,0.024
bf16,bf16,64,32768,686.505,0.025
bf16,bf16,64,65536,1355.643,0.026
bf16,bf16,64,131072,2704.326,0.026
bf16,bf16,128,1024,54.817,0.02
bf16,bf16,128,4096,181.232,0.024
bf16,bf16,128,8192,348.337,0.025
bf16,bf16,128,16384,680.999,0.026
bf16,bf16,128,32768,1357.77,0.026
bf16,bf16,128,65536,2709.221,0.026
bf16,bf16,256,1024,103.153,0.021
bf16,bf16,256,4096,354.178,0.025
bf16,bf16,256,8192,688.504,0.025
bf16,bf16,256,16384,1372.388,0.025
bf16,bf16,512,1024,188.937,0.023
bf16,bf16,512,4096,692.269,0.025
bf16,bf16,512,8192,1364.361,0.025
