dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,25.096,0.077
bf16,bf16,1,4096,34.635,0.223
bf16,bf16,1,8192,38.929,0.396
bf16,bf16,1,16384,59.602,0.517
bf16,bf16,1,32768,102.005,0.605
bf16,bf16,1,65536,167.421,0.737
bf16,bf16,1,131072,314.613,0.784
bf16,bf16,16,1024,57.674,0.535
bf16,bf16,16,4096,214.107,0.576
bf16,bf16,16,8192,402.7,0.613
bf16,bf16,16,16384,801.602,0.615
bf16,bf16,16,32768,1598.78,0.617
bf16,bf16,16,65536,3169.256,0.623
bf16,bf16,16,131072,6332.573,0.623
bf16,bf16,32,1024,94.874,0.65
bf16,bf16,32,4096,413.85,0.596
bf16,bf16,32,8192,811.198,0.608
bf16,bf16,32,16384,1712.173,0.576
bf16,bf16,32,32768,3176.433,0.621
bf16,bf16,32,65536,6348.717,0.622
bf16,bf16,32,131072,12661.31,0.623
bf16,bf16,64,1024,186.537,0.661
bf16,bf16,64,4096,689.563,0.715
bf16,bf16,64,8192,1361.822,0.725
bf16,bf16,64,16384,2704.494,0.73
bf16,bf16,64,32768,5388.686,0.732
bf16,bf16,64,65536,10759.635,0.734
bf16,bf16,64,131072,21506.971,0.734
bf16,bf16,128,1024,363.708,0.678
bf16,bf16,128,4096,1369.564,0.72
bf16,bf16,128,8192,2711.245,0.728
bf16,bf16,128,16384,5391.3,0.732
bf16,bf16,128,32768,10752.839,0.734
bf16,bf16,128,65536,21496.396,0.734
bf16,bf16,256,1024,633.661,0.779
bf16,bf16,256,4096,2398.27,0.823
bf16,bf16,256,8192,4738.727,0.833
bf16,bf16,256,16384,9433.436,0.837
bf16,bf16,512,1024,1252.252,0.788
bf16,bf16,512,4096,4774.702,0.827
bf16,bf16,512,8192,9469.949,0.834
