dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,35.466,0.003
bf16,bf16,1,4096,34.521,0.013
bf16,bf16,1,8192,43.237,0.021
bf16,bf16,1,16384,27.183,0.067
bf16,bf16,1,32768,38.469,0.094
bf16,bf16,1,65536,56.548,0.128
bf16,bf16,1,131072,95.882,0.151
bf16,bf16,16,1024,35.64,0.051
bf16,bf16,16,4096,58.323,0.124
bf16,bf16,16,8192,100.404,0.145
bf16,bf16,16,16384,186.204,0.156
bf16,bf16,16,32768,360.096,0.161
bf16,bf16,16,65536,711.042,0.163
bf16,bf16,16,131072,1398.774,0.166
bf16,bf16,32,1024,33.771,0.107
bf16,bf16,32,4096,97.209,0.149
bf16,bf16,32,8192,181.247,0.16
bf16,bf16,32,16384,355.419,0.163
bf16,bf16,32,32768,702.776,0.165
bf16,bf16,32,65536,1389.01,0.167
bf16,bf16,32,131072,2761.165,0.168
bf16,bf16,64,1024,60.874,0.119
bf16,bf16,64,4096,190.055,0.153
bf16,bf16,64,8192,639.371,0.165
bf16,bf16,64,16384,703.881,0.165
bf16,bf16,64,32768,1389.544,0.167
bf16,bf16,64,65536,2753.128,0.169
bf16,bf16,64,131072,5569.495,0.167
bf16,bf16,128,1024,108.89,0.133
bf16,bf16,128,4096,362.925,0.16
bf16,bf16,128,8192,691.538,0.168
bf16,bf16,128,16384,1341.47,0.173
bf16,bf16,128,32768,2667.357,0.174
bf16,bf16,128,65536,5977.66,0.155
bf16,bf16,256,1024,201.359,0.144
bf16,bf16,256,4096,668.563,0.174
bf16,bf16,256,8192,1296.013,0.179
bf16,bf16,256,16384,2576.48,0.18
bf16,bf16,512,1024,376.401,0.154
bf16,bf16,512,4096,1294.911,0.179
bf16,bf16,512,8192,2559.589,0.181
