bf16,bf16,1,1024,25.4893,0.009
bf16,bf16,1,4096,84.6816,0.011
bf16,bf16,1,8192,163.583,0.011
bf16,bf16,1,16384,321.787,0.011
bf16,bf16,1,32768,638.196,0.011
bf16,bf16,1,65536,1269.21,0.011
bf16,bf16,1,131072,2523.59,0.011
bf16,bf16,16,1024,25.8019,0.141
bf16,bf16,16,4096,86.3744,0.168
bf16,bf16,16,8192,166.356,0.174
bf16,bf16,16,16384,326.234,0.178
bf16,bf16,16,32768,647.25,0.179
bf16,bf16,16,65536,1286.49,0.180
bf16,bf16,16,131072,2562.74,0.181
bf16,bf16,32,1024,26.0794,0.278
bf16,bf16,32,4096,88.1523,0.329
bf16,bf16,32,8192,168.49,0.344
bf16,bf16,32,16384,328.404,0.353
bf16,bf16,32,32768,648.517,0.358
bf16,bf16,32,65536,1286.66,0.361
bf16,bf16,32,131072,2557.98,0.363
bf16,bf16,64,1024,52.9914,0.274
bf16,bf16,64,4096,171.463,0.339
bf16,bf16,64,8192,330.471,0.351
bf16,bf16,64,16384,648.257,0.358
bf16,bf16,64,32768,1284.05,0.362
bf16,bf16,64,65536,2550.54,0.364
bf16,bf16,64,131072,5080.95,0.366
bf16,bf16,128,1024,101.231,0.287
bf16,bf16,128,4096,336.615,0.345
bf16,bf16,128,8192,652.851,0.356
bf16,bf16,128,16384,1286.05,0.361
bf16,bf16,128,32768,2552.68,0.364
bf16,bf16,128,65536,5077.44,0.366
bf16,bf16,256,1024,175.317,0.331
bf16,bf16,256,4096,587.16,0.395
bf16,bf16,256,8192,1141.75,0.407
bf16,bf16,256,16384,2252.2,0.412
bf16,bf16,512,1024,339.476,0.342
bf16,bf16,512,4096,1165.51,0.398
bf16,bf16,512,8192,2273.48,0.408
