dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,29.16,0.016
bf16,bf16,1,4096,28.605,0.063
bf16,bf16,1,8192,88.279,0.041
bf16,bf16,1,16384,31.003,0.234
bf16,bf16,1,32768,43.121,0.336
bf16,bf16,1,65536,69.861,0.415
bf16,bf16,1,131072,125.911,0.461
bf16,bf16,16,1024,33.785,0.215
bf16,bf16,16,4096,83.176,0.349
bf16,bf16,16,8192,146.25,0.397
bf16,bf16,16,16384,273.636,0.424
bf16,bf16,16,32768,524.085,0.443
bf16,bf16,16,65536,1025.235,0.453
bf16,bf16,16,131072,2052.613,0.452
bf16,bf16,32,1024,58.073,0.25
bf16,bf16,32,4096,154.395,0.376
bf16,bf16,32,8192,279.964,0.415
bf16,bf16,32,16384,532.335,0.436
bf16,bf16,32,32768,1034.347,0.449
bf16,bf16,32,65536,2037.61,0.456
bf16,bf16,32,131072,4045.745,0.459
bf16,bf16,64,1024,73.131,0.397
bf16,bf16,64,4096,261.846,0.443
bf16,bf16,64,8192,513.086,0.452
bf16,bf16,64,16384,1017.154,0.456
bf16,bf16,64,32768,2019.098,0.46
bf16,bf16,64,65536,4026.872,0.461
bf16,bf16,64,131072,8041.178,0.462
bf16,bf16,128,1024,135.665,0.428
bf16,bf16,128,4096,507.735,0.457
bf16,bf16,128,8192,1001.481,0.464
bf16,bf16,128,16384,1987.83,0.467
bf16,bf16,128,32768,3961.59,0.469
bf16,bf16,128,65536,7908.514,0.47
bf16,bf16,256,1024,229.532,0.506
bf16,bf16,256,4096,872.453,0.532
bf16,bf16,256,8192,1728.028,0.537
bf16,bf16,256,16384,3439.176,0.54
bf16,bf16,512,1024,445.479,0.521
bf16,bf16,512,4096,1719.374,0.54
bf16,bf16,512,8192,3419.662,0.543
