dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,9.95,0.01
bf16,bf16,1,4096,13.91,0.03
bf16,bf16,1,8192,19.71,0.05
bf16,bf16,1,16384,33.93,0.05
bf16,bf16,1,32768,54.93,0.07
bf16,bf16,1,65536,96.12,0.08
bf16,bf16,1,131072,178.91,0.08
bf16,bf16,16,1024,35.15,0.05
bf16,bf16,16,4096,106.17,0.07
bf16,bf16,16,8192,199.98,0.07
bf16,bf16,16,16384,388.23,0.07
bf16,bf16,16,32768,807.91,0.07
bf16,bf16,16,65536,1580.55,0.07
bf16,bf16,16,131072,3204.31,0.07
bf16,bf16,32,1024,65.47,0.06
bf16,bf16,32,4096,207.61,0.07
bf16,bf16,32,5000,250.96,0.07
bf16,bf16,32,8192,398.47,0.07
bf16,bf16,32,16384,809.47,0.07
bf16,bf16,32,32768,1674.25,0.07
bf16,bf16,32,65536,3208.89,0.07
bf16,bf16,32,131072,6457.02,0.07
bf16,bf16,64,1024,112.37,0.06
bf16,bf16,64,4096,363.81,0.08
bf16,bf16,64,5000,444.79,0.08
bf16,bf16,64,8192,742.63,0.08
bf16,bf16,64,16384,1528.83,0.08
bf16,bf16,64,32768,3036.98,0.08
bf16,bf16,64,65536,6081.98,0.08
bf16,bf16,64,131072,12842.00,0.07
bf16,bf16,128,1024,215.55,0.07
bf16,bf16,128,4096,743.44,0.08
bf16,bf16,128,5000,935.18,0.08
bf16,bf16,128,8192,1514.86,0.08
bf16,bf16,128,16384,3064.68,0.08
bf16,bf16,128,32768,6076.60,0.08
bf16,bf16,128,65536,12783.50,0.07
bf16,bf16,256,1024,411.97,0.07
bf16,bf16,256,4096,1524.00,0.08
bf16,bf16,256,8192,3023.14,0.08
bf16,bf16,256,16384,5998.36,0.08
bf16,bf16,512,1024,825.67,0.07
bf16,bf16,512,4096,3041.43,0.08
bf16,bf16,512,8192,5991.59,0.08
bf16,fp8,1,1024,9.97,0.01
bf16,fp8,1,4096,13.74,0.03
bf16,fp8,1,8192,19.43,0.05
bf16,fp8,1,16384,30.73,0.06
bf16,fp8,1,32768,52.57,0.07
bf16,fp8,1,65536,91.92,0.08
bf16,fp8,1,131072,170.62,0.09
bf16,fp8,16,1024,25.41,0.07
bf16,fp8,16,4096,86.34,0.08
bf16,fp8,16,8192,164.13,0.09
bf16,fp8,16,16384,319.52,0.09
bf16,fp8,16,32768,630.17,0.09
bf16,fp8,16,65536,1250.76,0.09
bf16,fp8,16,131072,2493.89,0.09
bf16,fp8,32,1024,48.50,0.07
bf16,fp8,32,4096,162.99,0.09
bf16,fp8,32,5000,200.17,0.09
bf16,fp8,32,8192,314.92,0.09
bf16,fp8,32,16384,618.90,0.09
bf16,fp8,32,32768,1226.51,0.09
bf16,fp8,32,65536,2441.30,0.10
bf16,fp8,32,131072,4872.56,0.10
bf16,fp8,64,1024,79.80,0.09
bf16,fp8,64,4096,277.39,0.10
bf16,fp8,64,5000,341.56,0.10
bf16,fp8,64,8192,540.21,0.11
bf16,fp8,64,16384,1065.26,0.11
bf16,fp8,64,32768,2114.60,0.11
bf16,fp8,64,65536,4213.74,0.11
bf16,fp8,64,131072,8662.95,0.11
bf16,fp8,128,1024,150.79,0.10
bf16,fp8,128,4096,541.11,0.11
bf16,fp8,128,5000,667.06,0.11
bf16,fp8,128,8192,1059.96,0.11
bf16,fp8,128,16384,2097.55,0.11
bf16,fp8,128,32768,4172.38,0.11
bf16,fp8,128,65536,8597.67,0.11
bf16,fp8,256,1024,284.60,0.10
bf16,fp8,256,4096,1036.20,0.11
bf16,fp8,256,8192,2034.15,0.11
bf16,fp8,256,16384,4070.41,0.11
bf16,fp8,512,1024,552.73,0.11
bf16,fp8,512,4096,2024.09,0.11
bf16,fp8,512,8192,4003.62,0.12
