dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,29.311,0.004
bf16,bf16,1,4096,27.335,0.017
bf16,bf16,1,8192,28.632,0.032
bf16,bf16,1,16384,26.833,0.068
bf16,bf16,1,32768,29.728,0.122
bf16,bf16,1,65536,38.205,0.19
bf16,bf16,1,131072,58.527,0.248
bf16,bf16,16,1024,35.961,0.05
bf16,bf16,16,4096,39.776,0.182
bf16,bf16,16,8192,60.93,0.238
bf16,bf16,16,16384,101.485,0.286
bf16,bf16,16,32768,187.536,0.309
bf16,bf16,16,65536,360.874,0.322
bf16,bf16,16,131072,704.55,0.33
bf16,bf16,32,1024,27.573,0.132
bf16,bf16,32,4096,61.633,0.235
bf16,bf16,32,8192,103.003,0.282
bf16,bf16,32,16384,189.43,0.306
bf16,bf16,32,32768,363.137,0.32
bf16,bf16,32,65536,706.851,0.328
bf16,bf16,32,131072,1391.402,0.334
bf16,bf16,64,1024,34.426,0.211
bf16,bf16,64,4096,97.244,0.298
bf16,bf16,64,8192,183.985,0.315
bf16,bf16,64,16384,357.704,0.325
bf16,bf16,64,32768,699.297,0.332
bf16,bf16,64,65536,1383.767,0.336
bf16,bf16,64,131072,2748.594,0.338
bf16,bf16,128,1024,62.785,0.231
bf16,bf16,128,4096,190.965,0.304
bf16,bf16,128,8192,362.811,0.32
bf16,bf16,128,16384,709.783,0.327
bf16,bf16,128,32768,1393.838,0.333
bf16,bf16,128,65536,2763.522,0.336
bf16,bf16,256,1024,113.014,0.257
bf16,bf16,256,4096,359.209,0.323
bf16,bf16,256,8192,686.718,0.338
bf16,bf16,256,16384,1337.934,0.347
bf16,bf16,512,1024,199.604,0.291
bf16,bf16,512,4096,664.254,0.35
bf16,bf16,512,8192,1293.981,0.359
