dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,31.296,0.029
bf16,bf16,1,4096,27.902,0.13
bf16,bf16,1,8192,32.603,0.223
bf16,bf16,1,16384,44.982,0.323
bf16,bf16,1,32768,68.754,0.422
bf16,bf16,1,65536,126.765,0.458
bf16,bf16,1,131072,230.957,0.503
bf16,bf16,16,1024,58.882,0.246
bf16,bf16,16,4096,154.943,0.375
bf16,bf16,16,8192,283.925,0.409
bf16,bf16,16,16384,682.652,0.34
bf16,bf16,16,32768,1050.597,0.442
bf16,bf16,16,65536,2067.008,0.449
bf16,bf16,16,131072,4106.512,0.452
bf16,bf16,32,1024,107.313,0.27
bf16,bf16,32,4096,301.474,0.385
bf16,bf16,32,8192,558.995,0.415
bf16,bf16,32,16384,1065.899,0.436
bf16,bf16,32,32768,2083.477,0.446
bf16,bf16,32,65536,4125.901,0.45
bf16,bf16,32,131072,8196.078,0.453
bf16,bf16,64,1024,138.448,0.419
bf16,bf16,64,4096,521.055,0.446
bf16,bf16,64,8192,1029.537,0.451
bf16,bf16,64,16384,2048.875,0.453
bf16,bf16,64,32768,4085.573,0.455
bf16,bf16,64,65536,8161.643,0.455
bf16,bf16,64,131072,16311.808,0.455
bf16,bf16,128,1024,262.069,0.443
bf16,bf16,128,4096,1016.759,0.457
bf16,bf16,128,8192,2004.683,0.463
bf16,bf16,128,16384,3995.764,0.465
bf16,bf16,128,32768,7980.207,0.465
bf16,bf16,128,65536,15948.933,0.466
bf16,bf16,256,1024,446.656,0.52
bf16,bf16,256,4096,1738.452,0.534
bf16,bf16,256,8192,3460.198,0.537
bf16,bf16,256,16384,6902.5,0.538
bf16,bf16,512,1024,875.658,0.53
bf16,bf16,512,4096,3437.498,0.54
bf16,bf16,512,8192,6852.503,0.542
